"Activity Name","Duration (minutes)","Calories Burnt","Time of Day","Activity Type"
"Hiking","23","859","Evening","Strength"
"Kayaking","37","854","Morning","Endurance"
"Pilates","95","532","Morning","Cardio"
"Skating","111","765","Night","Strength"
"Yoga","45","200","Afternoon","Flexibility"
"Swimming","40","350","Morning","Cardio"
"Tennis","50","450","Evening","Cardio"
"Weightlifting","60","300","Afternoon","Strength"
"High-Intensity Workout","35","600","Morning","Cardio"
"Dancing","75","450","Night","Cardio"
"Running","30","300","Morning","Cardio"
"Cycling","45","400","Afternoon","Cardio"
"Rock Climbing","60","550","Evening","Strength"
"Boxing","50","650","Night","Cardio"
"Rowing","40","420","Afternoon","Endurance"
"Zumba","55","480","Morning","Cardio"
"Tai Chi","60","200","Evening","Flexibility"
"Aerobics","35","320","Morning","Cardio"
"Basketball","90","700","Afternoon","Cardio"
"Soccer","75","650","Evening","Cardio"
"Skiing","120","900","Morning","Endurance"
"Surfing","90","750","Afternoon","Balance"
"Barre Workout","60","400","Morning","Flexibility"
"Stand-Up Paddleboarding","75","500","Evening","Balance"
"Elliptical","45","380","Afternoon","Cardio"
"Horse Riding","70","450","Morning","Balance"
"Jump Rope","20","250","Evening","Cardio"
"Hiking","90","800","Morning","Endurance"
"Table Tennis","50","300","Night","Cardio"
"Badminton","60","450","Afternoon","Cardio"
"Power Yoga","50","250","Morning","Flexibility"
"Crossfit","45","700","Afternoon","Strength"
"Stair Climbing","30","400","Morning","Endurance"
"Golf","120","600","Evening","Balance"
"Mountain Biking","90","850","Afternoon","Endurance"
"Martial Arts","60","650","Night","Strength"
"Stretching","20","100","Morning","Flexibility"
"Spinning","40","500","Afternoon","Cardio"
"Rowing Machine","30","300","Morning","Endurance"
"Rock Wall Training","50","550","Evening","Strength"
"Archery","60","300","Afternoon","Balance"
"Slacklining","45","200","Morning","Balance"
"Obstacle Course","70","800","Afternoon","Cardio"
"Kickboxing","55","700","Night","Cardio"
"Snowboarding","120","950","Morning","Endurance"
"Aqua Aerobics","60","400","Evening","Flexibility"
"Rollerblading","90","750","Afternoon","Cardio"
"Kiteboarding","75","850","Morning","Endurance"
"Frisbee","60","350","Evening","Cardio"
"Paddle Boating","80","500","Afternoon","Balance"
"Ice Skating","45","600","Afternoon","Balance"
"Parkour","60","750","Morning","Cardio"
"Rowboat Fishing","90","400","Evening","Balance"
"Sprinting","20","350","Morning","Cardio"
"Sled Pulling","45","650","Afternoon","Strength"
"Trampoline Workout","50","500","Evening","Cardio"
"Judo","60","700","Night","Strength"
"Tai Bo","55","650","Morning","Cardio"
"Water Polo","80","750","Evening","Cardio"
"Handball","75","700","Afternoon","Cardio"
"Speed Walking","60","400","Morning","Endurance"
"Sand Running","45","650","Evening","Cardio"
"Tug-of-War","30","350","Afternoon","Strength"
"Frisbee Golf","60","300","Morning","Balance"
"Long Jump Training","40","450","Evening","Strength"
"Circuit Training","50","700","Afternoon","Cardio"
"Pole Dancing","75","500","Night","Flexibility"
"Roller Skiing","70","850","Morning","Endurance"
"Paddle Surfing","60","500","Evening","Balance"
"Urban Walking Tour","90","400","Afternoon","Endurance"
"Cricket","90","600","Afternoon","Cardio"
"Baseball","60","450","Evening","Cardio"
"Archery Practice","45","250","Morning","Balance"
"Rugby","80","750","Afternoon","Strength"
"Lacrosse","70","700","Evening","Cardio"
"American Football","60","650","Morning","Strength"
"Squash","45","500","Afternoon","Cardio"
"Water Skiing","50","600","Evening","Balance"
"Gymnastics","60","500","Night","Flexibility"
"Wrestling","50","700","Morning","Strength"
"Dodgeball","30","350","Afternoon","Cardio"
"Table Soccer (Foosball)","60","200","Evening","Balance"
"Ice Hockey","90","850","Night","Cardio"
"Bowling","60","300","Afternoon","Balance"
"Skateboarding","40","400","Morning","Balance"
"Fencing","45","450","Evening","Strength"
"Archery Tag","60","400","Afternoon","Cardio"
"Beach Volleyball","70","600","Morning","Cardio"
"Sprint Relays","30","450","Evening","Cardio"
"Cheerleading","60","500","Afternoon","Flexibility"
"Discus Throw Training","40","500","Morning","Strength"
"Shot Put Training","50","550","Evening","Strength"
"Rowing Competition","90","900","Afternoon","Endurance"
"Cricket Nets Practice","60","400","Morning","Cardio"
"Basketball Drills","45","500","Evening","Cardio"
"Soccer Practice","90","700","Night","Cardio"
"Ping Pong Tournaments","50","300","Afternoon","Balance"
"Badminton Doubles","60","450","Evening","Cardio"
"Kayaking Rapids","80","900","Morning","Endurance"